,T1.txt,T10.txt,T2.txt,T3.txt,T4.txt,T5.txt,T6.txt,T7.txt,T8.txt,T9.txt
elus,0,0,0,0,0,0,0,0,0,1
email,0,0,0,0,0,0,0,0,3,0
emancip,0,2,1,0,0,0,0,0,0,0
embed,1,0,0,0,0,0,0,0,0,0
embodi,0,0,2,0,0,0,0,0,0,0
embryo,0,0,3,1,0,0,0,0,0,0
embryolog,0,0,1,0,0,0,0,0,0,2
embryon,0,0,2,0,0,0,0,0,0,0
emerg,0,0,7,3,2,1,0,1,0,0
emin,0,1,1,0,2,1,0,0,0,1
emit,4,0,0,0,1,0,0,3,0,0
emot,0,3,2,1,0,0,0,0,0,0
emphasis,0,0,1,0,0,0,0,0,0,0
emphat,0,1,0,0,0,0,0,0,0,0
empir,0,0,1,0,0,0,0,0,0,0
employ,0,0,0,0,2,0,0,0,1,1
employe,0,0,0,0,0,0,0,0,3,0
empti,3,2,0,0,0,1,0,0,1,0
emuls,1,0,0,0,0,0,0,0,0,0
enabl,2,0,2,1,2,0,0,2,0,2
encas,0,0,1,1,0,0,0,0,0,0
encircl,0,0,0,0,0,1,0,0,0,0
encod,0,0,0,0,0,0,0,0,0,1
encourag,1,0,1,0,0,0,0,0,0,1
encyclop,0,0,0,0,0,0,0,0,0,1
end,4,0,5,6,1,1,0,4,4,2
endeavour,0,1,3,2,0,0,0,0,0,0
endow,1,2,1,0,0,0,0,0,0,0
endur,0,0,0,0,0,0,1,0,0,0
enemi,0,0,1,1,0,0,0,0,0,0
energet,2,0,0,2,0,0,0,0,0,0
energi,96,0,1,5,0,0,0,13,45,5
engag,0,0,0,0,1,0,0,0,0,0
engin,1,0,0,0,0,0,0,0,0,0
english,0,0,0,0,0,0,0,0,0,3
engrain,0,1,0,0,0,0,0,0,0,0
engrav,0,0,0,0,0,0,0,0,0,1
engulf,0,0,0,3,0,0,0,0,0,0
enigmat,0,0,0,0,0,1,0,0,0,0
enjoy,0,1,0,0,0,0,0,0,0,0
enlarg,0,0,1,2,0,0,0,0,0,0
enorm,3,0,4,1,0,6,0,7,4,3
enough,4,1,3,1,1,1,0,0,0,4
enregist,0,1,0,5,0,0,0,0,0,0
enregistr,0,0,1,0,0,0,0,0,0,0
ensembl,0,0,0,1,0,0,0,0,0,0
ensur,0,0,0,0,0,0,0,0,1,0
entail,0,0,1,0,0,0,0,0,0,0
entangl,0,0,0,1,0,0,0,0,0,1
entellu,0,1,0,0,0,0,0,0,0,0
enter,4,0,0,3,2,3,0,0,0,3
enthusiast,0,0,0,0,0,0,0,0,0,1
entir,1,0,5,2,2,1,0,0,1,4
entiti,5,0,0,0,0,0,0,0,7,0
entomb,0,0,1,0,0,0,0,0,0,0
entranc,0,0,0,0,0,0,0,0,0,1
envelop,0,0,0,0,0,0,1,2,0,4
environ,0,0,3,7,0,0,0,0,0,1
eocen,0,0,4,0,0,0,0,0,0,0
eohippu,0,0,2,0,0,0,0,0,0,0
epoch,1,0,1,0,0,0,0,0,0,1
equal,1,1,1,3,2,0,0,0,5,0
equalis,0,0,0,0,0,0,0,0,1,0
equat,1,0,0,1,1,0,0,2,0,0
equatori,0,0,0,0,3,0,0,1,0,0
equilibrium,1,0,1,1,0,0,0,0,0,0
equip,0,0,0,1,0,0,0,0,3,0
era,1,0,22,0,1,0,0,0,0,0
erect,0,0,1,0,1,0,0,0,0,0
ernest,0,0,0,0,0,0,0,0,0,3
errat,0,0,0,1,0,0,0,1,0,0
error,0,1,1,3,0,0,0,0,2,1
erupt,0,0,0,0,0,0,0,1,0,0
escap,0,1,0,2,0,0,0,0,2,0
especi,0,0,2,1,0,0,0,1,1,0
essenc,0,0,0,0,1,0,0,0,0,0
essenti,3,0,4,3,2,2,0,0,1,2
establish,1,0,10,6,0,0,0,0,0,0
estim,4,0,3,2,2,3,0,0,0,2
estuari,0,0,1,0,0,0,0,0,1,0
etc,0,0,0,0,0,0,0,1,1,0
etern,0,0,2,0,1,0,0,0,0,0
ether,33,0,0,0,1,0,0,1,18,3
euplectella,0,0,0,0,0,0,0,0,0,1
europ,0,0,1,0,0,0,0,0,0,0
eurypterid,0,0,1,0,0,0,0,0,0,0
eustachian,0,0,1,0,0,0,0,0,0,0
evad,0,0,3,1,0,0,0,0,1,0
evapor,0,0,0,1,0,0,0,0,0,0
even,12,3,6,8,4,9,3,6,9,6
event,0,1,2,0,3,0,0,0,0,1
eventu,0,0,4,2,0,0,0,0,0,0
ever,3,0,2,1,0,2,0,0,5,3
everi,11,0,8,4,6,2,1,10,6,4
everlast,0,0,0,0,0,1,0,0,0,0
everybodi,0,0,0,0,0,0,0,0,1,0
everyday,0,0,1,1,0,0,0,0,0,0
everyon,0,0,0,1,0,0,0,0,1,0
everyth,2,0,1,3,0,0,0,1,0,1
everywher,0,0,1,0,0,1,0,0,0,1
evid,4,1,13,1,0,1,1,2,1,2
evil,1,0,0,0,0,0,0,0,0,0
evolut,7,2,62,37,1,5,0,0,2,17
evolution,0,0,1,0,0,0,0,0,0,0
evolutionari,0,0,1,2,0,0,0,0,0,1
evolutionist,0,0,2,0,0,0,0,0,0,1
evolv,2,1,6,4,0,2,1,0,0,1
exact,1,0,0,0,0,0,0,0,0,0
exactitud,0,0,0,0,0,0,0,0,0,1
exactli,0,0,0,0,1,0,0,1,0,0
exagger,0,0,0,0,0,0,0,0,1,0
exalt,0,0,1,0,0,0,0,0,0,0
examin,0,0,0,0,1,1,0,2,1,1
exampl,4,0,1,0,0,0,0,1,0,1
excav,0,0,0,0,0,0,0,0,0,1
exceed,0,0,0,1,0,0,0,0,0,0
except,2,1,13,3,0,0,1,1,5,4
excess,4,0,0,0,0,0,0,0,0,1
excit,0,2,0,0,2,0,0,0,0,0
exclus,0,0,0,0,0,0,0,0,1,0
execut,0,0,0,0,0,0,0,0,1,0
exempt,0,0,0,1,0,0,0,0,2,0
exert,1,0,1,0,0,0,0,0,1,1
exhaust,1,0,0,0,0,0,0,0,0,0
exhibit,1,1,1,0,0,0,0,0,0,0
exist,11,0,4,3,4,1,3,2,12,1
expand,0,0,0,0,0,1,0,0,0,0
expect,0,1,1,1,0,0,0,1,1,2
expedi,0,2,0,0,0,0,0,0,0,0
expend,0,0,0,2,0,0,0,0,1,0
expenditur,0,0,0,0,0,0,0,0,1,0
expens,0,0,0,3,0,0,0,0,3,0
experi,3,10,6,5,0,0,0,1,4,1
experienti,0,0,0,1,0,0,0,0,0,0
experiment,2,0,2,0,0,0,0,0,0,2
explain,6,1,1,0,0,2,1,2,6,1
explan,0,0,0,0,0,2,0,2,4,0
explod,1,0,0,2,0,0,0,0,0,0
explor,0,0,0,1,1,0,0,0,0,0
explos,2,0,0,2,0,0,0,0,1,0
export,0,0,0,0,0,0,0,0,1,0
expos,1,1,0,2,0,1,0,0,0,0
expositor,0,0,1,0,0,0,0,0,0,0
exposur,0,0,0,1,0,0,0,0,0,0
expound,0,0,0,0,0,0,0,0,0,1
express,0,1,6,7,0,0,0,0,1,0
expuls,0,0,0,0,0,0,0,0,0,1
exquisit,0,0,0,1,1,0,0,0,0,0
extend,4,0,3,1,1,0,2,0,0,1
extens,0,0,1,1,0,0,0,0,0,0
extent,1,2,2,2,0,0,1,1,1,1
extern,0,0,4,0,0,0,0,0,0,1
extinct,0,0,10,2,0,2,0,0,0,4
extract,1,0,0,0,0,0,0,0,0,0
extraordinari,0,1,0,1,0,0,1,0,1,2
extraordinarili,0,0,1,0,0,1,0,0,0,0
extravag,1,0,0,0,0,0,0,0,0,0
extrem,1,0,4,1,0,2,0,0,0,0
exuber,0,0,4,0,0,0,0,0,0,0
exud,0,0,0,1,0,0,0,0,0,0
eye,9,1,3,3,8,0,2,1,0,4
f,0,1,5,7,0,0,0,0,11,16
fabr,0,0,0,1,0,0,0,0,0,1
fabric,0,0,0,0,1,0,0,0,0,0
face,2,0,3,0,1,1,2,1,1,2
facial,0,0,1,0,0,0,0,0,0,0
facil,0,0,0,0,1,0,0,0,1,0
facilit,1,0,0,0,0,0,0,0,0,0
fact,9,3,20,7,2,3,0,7,5,1
factor,1,0,2,1,0,0,0,1,2,3
fade,0,0,0,0,0,0,0,1,0,1
fail,0,0,0,1,0,0,0,0,1,0
failur,0,0,1,0,0,0,0,0,0,0
faint,0,0,0,0,5,0,2,0,0,2
fainter,0,0,0,0,1,0,0,0,0,0
faintest,0,0,0,0,0,1,0,0,0,0
faintli,1,0,0,0,0,0,0,0,0,1
fair,0,0,0,0,0,0,0,0,0,1
fairbank,0,0,0,0,0,0,0,0,1,0
fairli,2,0,0,0,0,0,0,0,0,0
falcon,0,0,0,0,0,0,0,0,0,1
fall,12,2,2,0,3,2,1,2,5,3
fallen,0,0,0,0,0,0,0,1,0,0
famili,0,0,6,0,0,0,1,0,0,4
familiar,1,0,0,1,1,0,0,0,0,1
familiarli,0,0,1,0,0,0,0,0,0,0
famou,0,0,0,2,0,0,0,0,0,1
fan,0,0,0,0,0,0,0,1,0,0
fanci,0,0,0,1,0,0,0,0,0,0
fanwis,1,0,0,0,0,0,0,0,0,0
far,7,2,10,6,1,2,2,0,5,13
farth,1,0,0,0,0,0,0,0,0,0
farther,0,0,0,1,2,0,0,1,7,1
farthest,0,0,0,0,0,1,0,0,0,0
fascin,0,0,0,0,1,0,0,0,1,2
fashion,0,0,2,2,0,0,0,0,0,1
fast,1,1,1,0,0,1,0,0,0,0
faster,2,0,0,0,0,0,0,0,4,0
fat,0,0,0,1,0,0,0,0,0,0
fatal,0,0,0,3,0,0,0,0,0,0
fate,2,0,1,0,0,0,0,0,0,0
father,0,0,1,0,0,0,0,0,0,0
fathom,0,0,2,0,0,0,0,0,0,0
fauna,0,0,1,0,0,0,0,0,0,0
favour,0,0,1,2,0,0,0,0,0,0
favourit,0,0,0,1,0,0,0,0,0,0
feather,1,0,6,0,0,0,0,0,0,1
featur,0,0,2,2,1,0,0,0,0,4
fed,0,0,1,1,0,0,1,0,0,0
feder,0,0,0,0,0,0,0,0,2,0
fee,0,0,0,0,0,0,0,0,12,0
feebl,1,0,0,0,1,0,1,0,0,0
feebler,2,0,0,0,0,0,0,0,0,0
feed,0,0,5,3,0,0,0,0,0,0
feel,1,2,5,2,0,0,0,2,0,0
feet,1,1,4,0,3,1,0,0,2,0
feign,0,0,0,0,0,0,0,0,0,1
feint,0,1,0,0,0,0,0,0,0,0
fell,0,0,0,1,0,0,0,0,0,1
felt,0,0,0,0,0,1,0,0,0,0
femal,0,1,2,6,0,0,0,0,0,1
feminin,0,0,0,3,0,0,0,0,0,0
feral,0,0,0,0,0,0,0,0,0,1
ferment,0,0,0,1,0,0,0,0,0,0
fern,0,0,1,0,0,0,0,0,0,0
fertil,1,0,2,0,0,0,0,0,0,0
fertilis,0,0,7,11,0,0,0,0,0,0
fibr,0,0,2,8,0,0,0,0,0,0
field,12,0,0,2,3,0,0,0,1,1
fierc,0,0,0,0,0,1,0,0,0,0
fieri,0,0,0,0,1,2,0,1,0,1
fifteen,0,2,1,0,0,0,1,0,0,0
fifth,0,0,0,0,0,0,0,0,0,1
fifti,2,0,1,2,0,1,1,1,1,0
fiftieth,0,1,0,0,0,0,0,0,0,0
fig,0,0,0,0,5,12,6,10,0,6
figment,0,0,0,0,0,1,0,0,0,0
figur,2,0,0,0,0,0,0,0,0,3
file,2,0,0,0,0,0,0,0,4,0
fill,0,0,2,0,0,0,0,0,0,1
film,2,0,0,0,0,0,0,0,0,0
filter,0,0,0,1,0,0,0,0,0,0
fin,0,0,3,0,0,0,0,0,0,0
final,1,0,3,1,3,2,0,0,4,0
financi,0,0,0,0,0,0,0,0,1,0
find,4,3,6,4,2,1,2,1,3,4
finder,0,0,0,0,1,0,0,0,0,0
fine,2,1,3,1,0,1,0,0,0,1
finer,0,0,0,1,0,0,0,0,0,0
finest,0,0,0,0,1,0,0,0,0,0
finger,0,2,9,1,0,0,0,0,0,1
finit,0,0,0,0,1,0,0,0,0,0
fir,0,1,0,0,0,0,0,0,0,0
fire,3,0,1,1,1,4,1,3,1,2
firm,0,0,1,0,0,0,0,0,0,0
firmament,0,0,0,0,0,0,0,0,0,1
first,3,6,28,21,3,2,2,2,3,8
fish,0,0,30,2,0,2,0,0,0,11
fit,2,0,8,1,0,1,0,0,1,1
fitli,0,0,1,0,0,0,0,0,0,0
five,1,4,3,0,1,0,2,1,0,6
fix,2,1,0,2,0,0,0,1,1,1
fixiti,0,0,0,0,1,0,0,0,0,0
fizz,0,0,0,1,0,0,0,0,0,0
flagel,0,0,0,2,0,0,0,0,0,0
flagella,0,0,0,1,0,0,0,0,0,0
flagellum,0,0,0,1,0,0,0,0,0,0
flame,0,0,0,1,0,1,0,2,0,8
flash,4,0,0,0,0,0,1,0,0,0
flat,0,0,2,0,0,0,0,0,0,0
flatten,0,0,0,0,1,0,0,0,0,0
flaw,0,0,0,1,0,0,0,0,0,0
flea,0,0,1,0,0,0,0,0,0,0
flesh,1,2,0,0,0,0,0,0,0,0
flew,0,0,0,0,0,0,0,0,1,0
flexibl,0,0,0,0,1,0,0,0,0,0
fli,2,1,23,9,0,0,0,0,2,7
flier,0,0,2,0,0,0,0,0,0,0
flight,0,0,7,1,0,0,0,0,0,0
flightless,0,0,1,0,0,0,0,0,0,2
flint,0,0,1,1,0,0,0,0,0,0
flinti,0,0,0,0,0,0,0,0,0,1
flipper,0,0,1,0,0,0,0,0,0,1
flit,0,1,0,0,0,0,0,0,0,0
float,0,2,2,2,0,1,0,0,0,0
flood,2,0,2,0,0,1,0,0,0,1
floor,0,0,1,3,0,0,0,0,0,0
flora,0,0,4,0,0,0,0,0,0,0
flourish,0,0,1,1,0,0,0,0,0,0
flow,15,0,0,3,0,1,0,0,2,0
flower,1,0,17,6,0,0,0,0,0,2
fluid,3,0,1,2,0,0,1,1,1,0
fluke,0,0,1,0,0,0,0,0,0,0
flung,0,0,0,0,0,1,0,0,0,0
flush,1,0,0,0,0,0,0,0,0,0
flutter,0,0,1,0,0,0,0,0,0,0
flux,0,0,1,0,0,0,0,0,1,0
flywheel,1,0,0,0,0,0,0,0,6,0
focu,0,1,0,0,2,0,0,0,0,0
foetal,0,0,2,0,0,0,0,0,0,0
fold,0,0,2,0,0,0,0,0,0,0
folk,0,0,0,1,0,0,0,0,0,0
follow,0,1,9,3,4,2,0,1,8,3
font,0,0,0,0,0,0,0,0,0,2
food,1,6,11,9,0,0,0,0,1,3
foot,0,2,10,1,0,0,0,0,0,0
foothold,0,0,2,0,0,0,0,0,0,0
foraminif,0,0,0,1,0,0,0,0,0,1
foraminifera,0,0,0,2,0,0,0,0,0,1
forb,0,0,0,0,1,0,0,0,0,0
forbid,0,0,0,0,0,0,0,0,0,1
forc,3,1,1,1,0,3,0,4,2,4
fore,0,0,9,0,0,0,0,0,0,1
foreclos,0,0,0,1,0,0,0,0,0,0
forehead,0,0,1,0,0,0,0,0,0,0
foresight,0,0,0,0,0,0,0,0,0,2
forest,3,2,7,2,3,0,0,0,0,1
foresti,0,0,0,0,0,0,0,0,0,1
foretel,0,0,0,0,0,0,0,0,0,1
forget,0,0,1,0,0,0,0,0,0,0
fork,0,0,0,2,0,0,0,0,0,0
form,22,3,25,30,4,10,2,3,7,14
format,0,0,1,4,1,1,0,2,8,0
former,0,1,0,0,0,0,0,0,0,0
formerli,0,0,1,0,0,0,0,0,0,0
formless,0,0,0,0,0,1,0,0,0,0
formul,0,0,1,0,0,0,0,0,0,0
forreri,0,0,0,0,0,0,0,0,0,1
forth,0,0,3,0,0,0,0,0,8,1
forti,0,2,1,1,0,0,0,1,1,0
fortun,1,0,0,0,0,0,0,0,0,0
forward,0,0,1,0,0,0,0,0,1,0
fossil,1,0,16,1,0,0,0,0,0,2
foster,0,2,0,0,0,0,0,0,0,0
found,9,4,4,9,2,2,2,7,4,1
foundat,0,0,0,0,0,0,0,0,25,1
founder,0,0,1,0,0,0,0,0,0,0
fountain,0,0,0,0,0,1,0,0,0,1
four,0,0,4,0,5,1,1,0,3,3
fourteen,0,0,0,0,0,2,0,0,0,0
fourth,0,0,1,0,0,0,0,1,0,1
fowl,0,0,0,1,0,0,0,0,0,0
fox,0,0,1,0,0,0,0,0,0,0
fraction,1,0,1,1,0,0,0,0,0,0
fragment,0,1,0,0,0,1,1,0,0,1
frame,0,0,1,0,0,0,0,0,0,0
framework,0,0,0,1,0,0,0,0,0,1
franc,0,1,1,0,0,0,0,0,0,1
frankli,0,0,1,0,0,0,0,0,0,0
frederick,0,0,0,0,0,0,0,0,1,1
free,0,1,5,2,0,0,0,0,7,0
freedom,0,0,2,0,0,0,0,0,0,0
freeli,3,0,0,0,0,0,0,0,4,0
freez,2,0,0,1,0,1,1,0,0,0
french,1,0,0,0,0,0,0,0,0,1
frequenc,0,0,1,0,0,0,0,0,0,0
frequent,0,0,1,1,0,0,0,0,0,0
fresh,2,0,1,0,0,0,0,0,0,2
freshwat,0,1,9,3,0,0,0,0,0,0
fri,0,0,0,0,0,0,0,0,0,3
friction,0,0,0,0,1,2,0,0,1,0
friend,0,0,0,0,0,0,0,0,0,1
friendli,0,0,0,1,0,0,0,0,0,0
frill,0,0,0,0,0,0,0,0,0,1
fring,0,0,1,1,0,0,1,0,0,0
fro,1,0,0,0,0,0,0,0,0,0
frog,0,0,6,1,0,0,0,0,0,1
front,1,0,0,2,0,0,0,0,0,0
frontispiec,0,0,0,0,0,0,0,1,0,2
frost,0,0,1,0,0,1,1,0,0,0
frozen,0,0,1,0,0,1,1,0,0,0
fruit,0,0,0,0,0,0,0,0,0,1
fruition,0,0,0,1,0,0,0,0,0,0
fuel,1,0,0,0,0,0,0,0,0,0
full,0,0,3,1,0,3,0,0,14,2
fuller,0,0,1,0,0,0,0,0,0,0
fulli,1,0,1,0,0,0,1,1,2,0
function,0,0,0,1,1,0,0,0,0,0
fundament,7,1,0,2,1,0,0,1,1,0
fundi,0,0,0,0,0,0,0,0,1,0
fundrais,0,0,0,0,0,0,0,0,1,0
fur,0,0,1,0,0,0,0,0,0,0
furnac,2,0,0,0,0,0,1,0,0,1
furnish,1,0,1,3,1,1,0,1,1,0
fusion,0,0,1,0,0,0,0,0,0,0
futur,4,0,1,2,4,1,0,0,3,2
fv,0,0,0,1,0,0,0,0,0,0
g,0,1,10,5,0,0,0,0,3,6
ga,2,0,0,1,1,5,1,14,0,2
gaboon,0,0,0,0,0,0,0,0,0,1
gain,0,0,3,0,0,0,0,2,0,0
gale,0,2,0,0,0,0,0,0,0,0
galileo,0,0,0,0,2,0,0,0,0,0
gall,0,0,1,0,0,0,0,0,0,0
gallop,0,0,0,0,0,0,0,0,0,1
gambian,0,0,1,0,0,0,0,0,0,1
gambiens,0,0,0,1,0,0,0,0,0,1
gambier,0,0,0,0,0,0,0,0,0,3
game,0,0,1,0,0,0,0,0,0,1
gamma,2,0,0,0,0,0,0,0,0,0
ganymed,0,0,0,0,0,0,1,0,0,0
garment,1,0,1,0,0,0,0,0,0,1
gase,0,0,0,0,0,6,1,4,0,2
gaseou,1,0,0,3,1,2,0,1,0,0
gatepost,0,0,0,0,0,0,0,0,0,1
gateway,0,1,0,1,0,0,0,0,0,0
gather,2,1,0,3,4,0,0,0,0,0
gaug,0,0,1,0,0,0,0,0,0,1
gaum,0,0,0,0,0,0,0,0,0,2
gaunt,0,0,0,0,0,1,0,0,0,0
gave,0,0,1,2,0,0,0,0,0,0
gbnewbi,0,0,0,0,0,0,0,0,1,0
gear,0,0,0,1,0,0,0,0,0,0
gedd,0,0,1,0,0,0,0,0,0,0
genealog,0,0,0,3,0,0,0,0,0,1
gener,11,1,12,9,4,3,1,2,7,6
genera,0,0,1,0,0,0,0,0,0,0
generalis,0,0,1,0,0,0,0,0,0,0
genesi,0,0,0,2,0,0,0,0,0,0
genial,0,0,1,0,0,0,0,0,0,0
geniu,0,0,2,1,0,0,0,0,0,2
gentl,0,0,0,1,0,0,0,0,0,0
gentler,0,0,1,0,0,0,0,0,0,0
geograph,0,0,2,0,0,0,0,0,0,0
geolog,1,0,4,0,0,0,0,0,0,1
geologist,0,0,4,0,0,0,0,0,0,0
georg,0,0,0,0,0,0,0,0,1,0
germ,0,0,4,8,0,0,0,0,0,1
germin,0,0,0,1,0,0,0,0,0,0
get,7,4,6,5,1,2,0,0,3,2
giant,0,0,5,2,2,3,1,1,0,2
gibbon,0,0,0,0,0,0,0,0,0,2
gift,0,0,1,0,0,0,0,0,0,0
gigant,1,0,3,1,1,2,0,1,1,4
gilbert,0,1,0,0,0,0,0,0,0,0
gill,0,0,10,0,0,0,0,0,0,0
ginkgo,0,0,1,0,0,0,0,0,0,0
giraff,0,0,0,2,0,0,0,0,0,1
gisbert,0,0,0,0,0,0,0,0,1,0
gist,0,0,0,1,0,0,0,0,0,1
give,17,0,3,9,2,3,0,5,6,9
given,4,0,3,4,0,1,0,2,2,2
glacial,0,0,2,0,0,0,0,0,0,0
glad,0,1,0,0,0,0,0,0,0,0
glanc,0,0,0,0,0,0,0,0,0,1
gland,0,1,0,2,0,0,0,0,0,1
glare,0,0,0,0,0,0,0,1,0,2
glass,6,0,0,1,1,0,0,6,0,1
gleam,0,0,1,0,0,0,0,0,0,0
glide,0,0,2,1,0,0,0,1,0,0
glimps,0,1,1,1,0,0,0,0,0,2
glitter,0,0,0,0,0,0,0,0,0,1
globe,1,0,1,1,0,2,8,1,0,2
globul,0,0,0,1,0,0,0,0,0,0
gloomi,1,0,0,0,0,0,0,0,0,0
glori,1,0,0,0,0,0,0,0,0,0
gloriou,0,0,0,0,0,0,0,1,0,0
glow,4,0,0,1,1,3,0,7,0,4
glu,0,0,0,0,1,0,0,0,0,1
gluten,0,0,0,1,0,0,0,0,0,0
gnaw,0,3,0,0,0,0,0,0,0,0
go,8,2,3,8,4,1,1,3,8,2
goal,0,0,0,0,0,0,0,0,1,1
god,1,0,1,0,0,0,0,0,0,0
goe,3,0,1,3,1,1,0,0,0,1
gold,1,0,0,0,0,0,0,0,0,0
golden,0,0,4,0,0,0,0,1,0,0
golf,0,0,0,0,0,0,0,0,0,1
gonad,0,0,0,1,0,0,0,0,0,0
gone,1,0,1,2,0,1,0,0,0,3
good,3,3,5,4,2,1,2,0,0,2
goodrich,0,0,1,0,0,0,0,0,0,0
gorilla,0,0,1,0,0,0,0,0,0,3
gossam,0,0,0,0,0,0,0,0,0,1
got,0,1,0,2,0,0,0,0,0,1
govern,0,0,0,1,0,0,0,0,1,0
gr,0,0,0,1,0,0,0,0,0,0
gradat,0,0,0,0,0,0,0,1,0,0
grade,0,0,1,0,0,0,0,0,0,0
gradual,2,0,4,7,0,2,1,1,3,1
grain,3,0,1,0,0,0,0,0,0,0
grand,0,0,2,0,0,0,0,0,0,0
grandest,1,0,0,1,0,0,0,0,0,1
granit,0,0,0,1,0,0,0,0,0,0
grant,0,0,1,0,0,0,0,0,1,0
granul,0,0,0,2,0,0,0,0,0,1
granular,0,0,0,0,0,0,0,1,0,0
grape,0,0,0,1,0,0,0,0,0,0
graphic,1,0,0,0,0,0,0,0,0,0
graphit,0,0,1,0,0,0,0,0,0,0
graptolit,0,0,1,0,0,0,0,0,0,0
grasp,1,0,1,0,0,0,0,0,0,0
grass,0,1,1,0,0,0,0,0,0,0
grate,0,0,0,0,2,0,0,0,1,0
grave,0,0,0,0,0,1,0,0,1,0
gravit,1,0,1,0,0,3,1,1,5,3
graviti,0,0,0,1,0,1,0,2,0,0
graze,0,0,2,0,0,0,0,0,1,1
great,14,5,36,32,18,8,7,8,5,22
greater,0,1,3,3,3,2,0,1,4,5
greatest,1,0,1,2,2,1,0,0,1,5
greatli,0,0,2,5,1,1,0,1,0,2
greek,0,2,0,1,0,0,0,1,0,0
green,2,0,3,7,0,0,0,2,0,1
greenland,0,0,0,0,0,0,0,0,0,1
greenwich,0,0,0,0,1,2,0,1,0,3
gregari,0,0,0,0,0,1,0,0,0,0
gregori,0,0,0,0,0,0,0,0,1,0
grew,0,1,1,1,0,0,0,0,0,0
greyish,0,0,0,1,0,0,0,0,0,0
groan,0,0,0,1,0,0,0,0,0,0
groov,0,0,1,0,0,0,0,0,0,0
gross,0,0,0,0,0,0,0,0,1,0
ground,1,4,11,1,0,0,0,0,0,0
group,0,0,1,1,3,2,0,0,1,1
grous,0,0,0,1,0,0,0,0,0,0
grow,1,1,6,3,0,4,1,0,0,0
grown,0,0,1,1,0,0,0,0,0,0
growth,0,0,0,4,0,0,0,0,0,1
grub,0,0,1,0,0,0,0,0,0,0
guard,0,1,0,0,0,0,0,0,0,0
guess,1,0,0,0,0,0,1,0,0,2
guiana,0,0,1,0,0,0,0,0,0,1
guid,0,0,1,1,2,0,0,0,0,0
guidanc,0,0,1,0,0,0,0,0,0,0
guinea,0,1,0,0,0,0,0,0,0,0
guis,0,0,2,0,0,0,0,0,0,0
gulf,0,0,0,2,0,0,0,0,0,0
gull,0,2,1,0,0,0,0,0,0,0
gullet,0,1,0,0,0,0,0,0,0,0
gum,0,0,1,0,0,0,0,0,0,0
gun,0,0,0,1,0,0,0,0,0,0
gutenberg,0,0,0,0,0,0,0,0,89,4
h,1,0,5,2,2,1,1,1,3,14
habit,0,0,2,2,0,0,0,0,0,5
habitat,0,0,2,1,0,0,0,0,0,0
habitu,0,0,1,0,0,0,0,0,0,0
hair,0,0,1,1,0,0,0,0,0,0
half,2,0,4,3,0,0,1,1,4,2
halo,0,0,0,0,0,0,0,0,0,2
halv,0,0,0,3,0,0,0,0,0,0
hammer,0,1,0,0,0,0,0,0,0,1
hand,6,3,3,3,1,0,0,0,3,3
handicap,0,0,1,0,0,0,0,0,0,0
handkerchief,1,0,0,0,0,0,0,0,0,0
handl,0,0,0,0,1,0,0,0,0,0
hang,0,0,0,1,0,0,0,0,0,0
hanger,0,0,1,0,0,0,0,0,0,0
happen,3,3,1,4,1,0,0,0,1,0
har,2,0,0,0,0,0,0,0,0,0
hard,0,2,5,0,1,1,0,0,0,0
hardli,0,1,3,1,0,2,1,2,0,1
hardwood,0,0,1,0,0,0,0,0,0,0
hark,0,0,1,0,0,0,0,0,0,0
harmless,0,0,0,0,0,0,0,0,1,0
harmoni,0,0,1,0,0,0,0,0,0,1
harmonis,0,0,0,1,0,0,0,0,0,0
harpi,0,0,0,0,0,0,0,0,0,1
harri,0,0,0,1,0,0,0,0,0,0
hart,0,0,0,0,0,0,0,0,2,0
harvard,0,0,0,0,0,1,0,0,0,3
harvest,0,1,0,0,0,0,0,0,0,0
hasten,0,0,0,0,0,1,0,0,0,0
hastili,0,1,0,0,0,0,0,0,0,0
hatch,0,0,2,1,0,0,0,0,0,2
haunt,0,0,13,0,0,0,0,0,0,0
hawaii,0,0,1,0,0,0,0,0,0,0
haze,0,0,0,0,0,0,0,0,0,1
head,0,2,0,5,0,2,0,0,1,4
headley,0,0,1,0,0,0,0,0,0,0
health,0,0,0,0,0,0,0,0,0,1
heap,0,0,0,0,0,0,0,0,1,0
hear,2,4,0,0,0,0,0,0,1,0
heard,0,1,0,0,0,0,0,0,0,0
heart,0,0,1,0,0,0,0,0,0,1
hearti,0,0,0,0,0,0,0,0,0,1
heat,37,0,2,1,0,7,3,9,17,6
heav,0,0,0,1,0,0,0,0,0,0
heaven,0,0,0,1,7,4,0,1,0,6
heavenli,0,0,0,0,0,0,1,0,0,3
heavi,1,0,2,1,0,1,0,0,0,0
heavier,3,0,0,2,0,0,0,0,0,0
heaviest,2,0,0,0,0,0,0,0,1,0
heavili,0,0,1,0,0,0,0,0,0,0
heel,0,0,1,0,0,0,0,0,0,0
heidelberg,0,0,0,0,0,0,0,0,0,2
height,0,1,2,0,0,2,0,1,0,7
heighten,0,0,0,0,1,0,0,0,0,0
heir,0,0,0,0,0,0,0,1,0,0
held,4,0,0,1,0,0,0,0,1,2
helena,0,0,0,0,0,0,0,0,1,0
helio,0,0,0,0,0,0,0,1,0,0
